World Bank Disbursements to ADB DMCS,,,,,,,,,,
Country,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Afghanistan ($ mil),238,136,107,69,177,324,542,465,295,-3
Armenia,131,124,122,137,59,55,92,42,74,14
Azerbaijan,400,401,295,498,312,91,51,11,69,28
Bangladesh,809,870,1016,1307,1333,1933,1369,1572,2107,549
Bhutan,8,2,23,27,41,33,57,36,61,4
Cambodia,44,18,4,9,20,55,78,69,315,55
People's Republic of China,1247,1566,1476,1530,1957,1870,1494,1753,2310,434
Fiji,0,0,0,53,18,2,67,149,126,110
Georgia,108,270,76,138,123,51,87,216,162,81
India,2257,2658,3042,2426,2529,3192,4358,4096,4281,1052
Indonesia,1498,919,3168,1466,1045,1847,897,1299,3425,1592
Kazakhstan,526,373,1206,216,97,101,112,106,237,438
Kiribati,13,12,9,8,12,14,1,2,6,7
Republic of Korea,0,0,0,0,0,0,0,0,0,0
Kyrgyz Republic,62,57,43,46,47,55,46,46,108,60
Laos,59,38,47,85,63,86,63,58,126,39
Maldives,8,6,6,3,10,5,40,39,23,5
Marshall Islands,0,0,1,1,2,3,9,10,9,9
Federated States of Micronesia,0,1,9,5,16,20,16,8,16,3
Mongolia,14,13,12,17,141,13,136,86,128,27
Myanmar,3,52,125,182,204,230,196,234,78,0
Nepal,252,192,278,319,456,510,448,818,610,153
Pakistan,1654,1164,1470,903,770,609,1327,2002,2458,674
Papua New Guinea,34,26,24,32,35,184,34,15,227,16
Philippines,567,1034,256,548,304,1196,2122,1300,2364,249
Samoa,21,13,13,14,31,25,30,19,33,10
Solomon Islands,7,8,3,7,4,10,26,18,49,34
Sri Lanka,209,158,143,370,217,151,252,377,861,184
Taipei,0,0,0,0,0,0,0,0,0,0
Tajikistan,28,24,34,29,48,80,76,134,190,86
Thailand,0,0,0,0,0,0,0,0,0,0
Timor-Leste,2,10,11,14,9,11,6,6,7,2
Tonga,12,17,18,11,9,24,16,49,49,23
Turkmenistan,0,0,0,0,0,0,0,0,30,5
Tuvalu,4,5,9,7,5,10,17,6,14,3
Uzbekistan,90,114,147,230,102,1134,1015,833,1273,1151
Vanuatu,0,0,3,7,35,34,26,11,28,4
Viet Nam,1332,1360,1218,1107,814,694,1031,641,1211,521
Totals,11637,11641,14414,11821,11045,14652,16137,16526,23360,7619
